products,rating,rating count,price,product url
"Nokia G22 Dual SIM Smarphone, Lagoon Blue, 4GB RAM, 128GB Storage, Official Australian Device  ",,RRP: ,298.00,https://www.amazon.com.au/sspa/click?ie=UTF8&spc=MToxNTE4NzA1OTU4ODc1NjIxOjE2OTQ2NjcyMTk6c3BfYXRmOjEzMTEzMTMzMTk5ODo6MDo6&url=%2FNokia-Smarphone-Storage-Official-Australian%2Fdp%2FB0BZYGX8KR%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DMobile%26page%2B%3D%2B1%26qid%3D1694667219%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Nokia G22 Dual SIM Smartphone, Meteor Grey, 4GB RAM, 128GB Storage, Official Australian Device  ",,RRP: ,298.00,https://www.amazon.com.au/sspa/click?ie=UTF8&spc=MToxNTE4NzA1OTU4ODc1NjIxOjE2OTQ2NjcyMTk6c3BfYXRmOjEzMTEzMTMzMjA5ODo6MDo6&url=%2FNokia-Smartphone-Storage-Official-Australian%2Fdp%2FB0BZYCWK6Y%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DMobile%26page%2B%3D%2B1%26qid%3D1694667219%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Easyfone Prime-A6 4G Unlocked Big Button Mobile Phone for Seniors, Easy-to-Use SIM-Free Clear Sound Cell Phone for Elderly with SOS Button and Charging Dock  ",3.9 out of 5 stars,3.9,86.99,https://www.amazon.com.au/sspa/click?ie=UTF8&spc=MToxNTE4NzA1OTU4ODc1NjIxOjE2OTQ2NjcyMTk6c3BfYXRmOjEyNDY1MjM1MTQ5ODo6MDo6&url=%2FEasyfone-Button-Senior-Sim-Free-Charging%2Fdp%2FB09MRZX8CN%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DMobile%26page%2B%3D%2B1%26qid%3D1694667219%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Easyfone T100 4G SIM-Free Big Button Mobile Phone for Seniors, Easy-to-Use Clear Sound Cell Phone with SOS Button, GPS, 1500mAh Battery and Convenient Charging Dock  ",3.7 out of 5 stars,3.7,117.99,https://www.amazon.com.au/sspa/click?ie=UTF8&spc=MToxNTE4NzA1OTU4ODc1NjIxOjE2OTQ2NjcyMTk6c3BfYXRmOjEyNDYzODM1Mzk5ODo6MDo6&url=%2FEasyfone-T100-SIM-Free-Full-View-Compatible%2Fdp%2FB09MLMVPG8%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DMobile%26page%2B%3D%2B1%26qid%3D1694667219%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Samsung Galaxy A04s Dual SIM Smartphone, Black, 4GB RAM, 128GB Storage  ",4.7 out of 5 stars,4.7,319.00,https://www.amazon.com.au/Samsung-Galaxy-Smartphone-Black-Storage/dp/B0BXLG4MG3/ref=sr_1_5?keywords=Mobile&page+=+1&qid=1694667219&sr=8-5
"TCL 30 SE 6.52'' Android Phone, Unlocked Android Smartphone 4GB RAM + 64GB ROM with 50MP Camera, 5000mAh Long Battery Life  ",4.2 out of 5 stars,4.2,199.00,https://www.amazon.com.au/TCL-Unlocked-Android-Smartphone-Atlantic/dp/B09XV8SCMP/ref=sr_1_6?keywords=Mobile&page+=+1&qid=1694667219&sr=8-6
VOCA Big Button Flip Phone for Elderly | Dual Screen | Unlocked 4G LTE | Loud Volume | SOS Button | Hearing Aid Compatibility | Charging Dock | Predictive Text | V543  ,4.1 out of 5 stars,4.1,107.00,https://www.amazon.com.au/VOCA-Unlocked-Compatibility-Predictive-V543/dp/B0C612XYFW/ref=sr_1_7?keywords=Mobile&page+=+1&qid=1694667219&sr=8-7
"OPPO Find X5 Lite 6.43 Inches Smartphone,5/256 GB, Black (Optus Unlocked - Single SIM)  ",5.0 out of 5 stars,5.0,458.00,https://www.amazon.com.au/OPPO-Inches-Smartphone-Black-Unlocked/dp/B0BXJZMZNB/ref=sr_1_8?keywords=Mobile&page+=+1&qid=1694667219&sr=8-8
Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Sage  ,4.3 out of 5 stars,4.3,496.00,https://www.amazon.com.au/Google-Pixel-6a-Smartphone-Megapixel/dp/B0B3Q23BT4/ref=sr_1_9?keywords=Mobile&page+=+1&qid=1694667219&sr=8-9
"Samsung Galaxy A54 5G Single SIM Smartphone, Awesome Violet, 6GB RAM, 128GB Storage  ",4.4 out of 5 stars,4.4,675.00,https://www.amazon.com.au/Samsung-Galaxy-Smartphone-Awesome-Storage/dp/B0BXLFLZKJ/ref=sr_1_10?keywords=Mobile&page+=+1&qid=1694667219&sr=8-10
